"Culture Name

List what do people call your culture? Include nicknames, acronyms, or symbols if they exist.","Values & Traits

List what does your culture care about? What does the community value?

","Material Culture

List materials, objects, foods, images, sounds etc., that are associated with your culture.  

If not applicable, skip it.","Kinships

List which other cultures does yours connect with, borrow from, or resemble?

If not applicable, skip it.","Cultural Knowledgebase
How fixed or dynamic is your culture’s core body of knowledge? On one end are cultures with established, unchangeable texts or practices (e.g., sacred religious texts). On the other end are cultures where knowledge is open, fluid, and constantly being rewritten.",Membership Openness  ,"Language Acquisition

How difficult is it for someone new to learn and use the language of your culture? Please rate on a scale from very hard to very easy. ","Scope of Your Culture

How would you describe the scope of this culture?
(e.g., national culture, local community, hobby group, family practice, etc.)

Does it exists in more then one scope? ","Cultural Practices

How do people belong in this culture? Are there any key symbols and shared stories? What makes them feel like a part of the bigger picture?","Your Own Words
Some things about a culture can't be captured by premade categories. What did we miss? This is your space to tell us more.
What makes your culture unique?
What does your culture share in common that is meaningful to you?
What are you all about?
Your words help bring your culture to life within Belonging.
(Recommended minimum length 100 words so others can truly understand your culture.)"
Brazilian,"Quality, sustainability, community, exploration, and craft.","Coffee beans, brewing equipment, mugs, cafes, and tastings.","Tea culture, culinary enthusiasts, and local agriculture movements.",4,4,3,"Local cafes, global coffee networks, and tasting events.","Belonging comes from sharing brews, attending tastings, and coffee shop chats. Symbols include coffee mugs and brewing techniques.","Coffee culture is a rich blend of flavor, passion, and community. We gather in cafes, exchanging stories over steaming mugs, diving into the nuances of aroma and taste. Each cup tells a story—from bean origin to roast profile—igniting discussions about sustainability and fair trade practices. We cherish the craft of brewing, sharing tips and techniques that elevate our coffee experience. This culture thrives on curiosity and exploration, inviting everyone to embark on a journey through different coffee regions and styles. It’s not just about drinking coffee; it’s about creating connections, learning together, and celebrating the artistry behind every sip."
Brown University alum,"Quality, community, creativity, local sourcing.","Craft beers, tasting glasses, breweries, food pairings.","Wine aficionados, local food movement, homebrewers.",7,4,3,"Local with global influences, especially from craft beer movements.","Membership is through trying new beers, attending tastings, and sharing experiences.","Craft beer enthusiasts unite over a shared passion for quality brews and the artistry behind them. Our culture transcends the simple act of drinking; it’s about exploration, camaraderie, and celebrating local ingredients. Each brewery visit becomes an adventure, where we savor unique flavors and learn the stories of the makers behind the beers. We foster community through tastings, festivals, and collaborations, and we take pride in supporting local businesses. Our diverse tastes often lead to lively discussions about brewing techniques, styles, and food pairings, creating a rich tapestry of shared knowledge and experiences that bond us together. We are a culture built on enjoyment, exploration, and a love for craftsmanship."
Catalan,"Diversity in flavors, cultural exchange, sustainability, cooking techniques.","Cookware, spices, recipe books, local ingredients.","Food bloggers, local chefs, cultural ambassadors.",5,4,3,Local groups with global influences through shared culinary experiences.,"Belonging is cultivated through food festivals, cooking classes, and cultural potlucks.","The culinary explorers’ culture is a celebration of flavors, ingredients, and traditions from around the world. We believe that food is more than just sustenance; it is a way to connect with others and understand diverse cultures. Our community thrives on sharing recipes, cooking tips, and cultural stories that enrich our culinary experiences. Through potlucks and food festivals, we create a vibrant space where everyone can share their heritage and learn from one another. Each dish we create is an opportunity to explore a different culture and connect with people on a deeper level. Our culture values sustainability and often emphasizes local sourcing, making each meal not only a culinary adventure but also a step towards a more conscious way of living. Together, we cherish the art of cooking as a way to nurture relationships and celebrate the beauty of diversity."
Celtic,"We prioritize accuracy, transparency, collaboration, ethical data use, and continual learning.","Laptops, data visualization tools, Jupyter notebooks, R scripts, and endless coffee mugs.","Software engineers, statisticians, academic researchers, and open-source communities.",5,4,3,"This culture exists in academic, corporate, and open-source environments, globally connected through online forums and conferences.","Belonging comes from sharing knowledge, contributing to open-source projects, and participating in hackathons. Key symbols include the Python logo and the R language emblem.","As data scientists, we form a unique blend of creativity and analytical thinking. Our culture is shaped by the desire to uncover insights from complex datasets and to translate those findings into actionable strategies. We constantly strive to improve our skills and adapt to new technologies and methodologies. The collaborative nature of our work fosters a community where sharing knowledge isn’t just encouraged; it’s essential. We celebrate our wins during data sprints and engage in discussions that challenge our perspectives. Our culture thrives on curiosity and the belief that data can drive positive change in the world around us."
Celtic Reconstructionism,"We cherish freedom, flexibility, cultural exchange, community, and lifelong learning.","Laptops, travel gear, local cuisines, online platforms, and travel blogs.","Freelancers, remote workers, and travel enthusiasts.",4,4,3,A global culture that connects individuals working remotely and traveling around the world.,"Belonging is fostered through shared experiences, co-working spaces, and online communities. Key symbols include travel photos and co-working setups.","Being a digital nomad means embracing a lifestyle that balances work and travel, allowing us to explore new cultures while maintaining our careers. Our culture is diverse, with members from various backgrounds who share a common goal of seeking freedom and adventure. We thrive on flexibility, often adapting our work schedules to fit our travel plans, whether that means setting up a temporary desk in a coffee shop in Bali or collaborating with others in a beach hut in Mexico. The connections we make, both online and offline, create a sense of community that transcends geographical barriers. We believe in sharing stories and experiences, which enrich our understanding of the world together."
Chilean Mapuche,"Creativity, storytelling, collaboration, inclusivity.","Rulebooks, character sheets, dice, play mats, campaign notes.","Fantasy writers, tabletop gamers, cosplay communities.",6,4,3,Local communities with national and online networks.,"Belonging is built through shared campaigns, character development, and storytelling sessions. Key symbols include dice and campaign maps.","The Dungeons & Dragons Lorekeepers culture thrives on the magic of storytelling and collaboration. We come together to craft adventures, develop characters, and explore fantastical realms, where our imaginations become the driving force. Every gaming session is a new chapter in an ongoing saga, where we observe the triumphs and failures of our characters. Our community values inclusivity, welcoming players of all backgrounds to participate, share, and create together. Through regular meetups and campaigns, we foster friendships that extend beyond the table, forming bonds over shared experiences and laughter. This culture is a vibrant tapestry of creativity, where every voice is heard, and every story matters, making it a truly special space for us all."
Chinese,"Sustainability, ethical sourcing, environmentalism, community impact.","Reusable bags, eco-friendly products, zero-waste guides, community gardens.","Environmentalists, local farmers, sustainability advocates.",6,5,3,Local with a growing global network of eco-conscious groups.,"Belonging is cultivated through workshops, community events, and collective actions. Symbols include reusable products and zero-waste tips.","The eco-conscious consumer culture is a purposeful movement aimed at fostering sustainable living and responsible consumption. We believe in the power of individual choices to create a ripple effect in the community and the planet. Our culture promotes ethical sourcing and supports local businesses, aiming to reduce our environmental impact. We gather for workshops, farmers’ markets, and community initiatives, sharing knowledge and experiences about sustainable practices. Each member contributes by making mindful choices, striving for a zero-waste lifestyle, and inspiring others to join the cause. Together, we are creating a culture that values sustainability and respect for the planet, proving that every small action counts towards a healthier future."
Coffee Enthusiasts,"Imagination, storytelling, community, teamwork.","Dice, character sheets, fantasy artwork, game manuals.","Writers, board gamers, comic book fans.",4,5,3,Local groups with national and international scenes.,"Belonging is cultivated through regular game sessions, character creation, and shared narratives.","The fantasy role-playing gaming culture is a vivid tapestry woven from imagination, creativity, and camaraderie. We come together to tell stories through characters we create, navigating worlds filled with adventure, conflict, and exploration. Every session is an opportunity to engage in collaborative storytelling, where participants bring their characters to life, shaping narratives that can twist and turn based on our collective decisions. Through laughter, triumphs, and challenges, we build friendships and a sense of belonging that transcends the gaming table. This culture embraces diversity and inclusion, inviting people from all walks of life to contribute their unique perspectives. Our shared experiences foster a community where creativity knows no bounds, and every voice is valued. Together, we celebrate the magic of storytelling and the bonds we create along the way."
Craft Beer Enthusiasts,"We value equity, social justice, intersectionality, critical scholarship, and activism.","Books, academic journals, zines, protest signs, and art pieces representing women's empowerment.","Activist communities, sociologists, and other social justice movements.",6,2,4,"This culture spans academic institutions globally, influencing various fields like sociology, psychology, and political science.","Belonging is found through collaborative research, activism, and sharing personal narratives. Key symbols include the feminist symbol and historical figures like bell hooks.","Our culture as feminist scholars is rooted in the understanding that knowledge is not neutral. We view scholarship as a tool for social change, aiming to highlight the voices of marginalized groups. The intersectionality inherent in our work reflects the complexities of identity, and we seek to challenge the status quo in every aspect. Our discussions often center around personal experiences, which we weave into our academic work, thereby validating lived experiences as legitimate sources of knowledge. Meaningful collaborations arise from our mutual commitment to advocacy and the shared goal of dismantling systemic inequalities, making our culture a powerful force for change."
Culinary Explorers,"Solidarity, freedom, debate, food, humor, pride.","Cheese, wine, minitel, espadrilles, baguette, La Marseillaise, SNCF jingle, church bell in the middle of the afternoon, the smell of bakeries in the morning.","Italy, British, European, USA.",3,1,4,National,"Shared narrative of the French nation, enshrined since the Napoleonic era.",
Data Scientists,"Inclusion, skill development, storytelling, and teamwork.","Game consoles, PCs, gaming chairs, and snacks like energy drinks and chips.","Esports, tabletop gaming, and online communities.",6,5,4,,"Belonging is found through in-game achievements, community events, and shared narratives. Symbols include game logos and avatars.","Gamer culture is a dynamic landscape of creativity and competition that transcends borders. We unite through our love for immersive experiences, whether it’s RPGs, competitive shooters, or narrative-driven adventures. Our community thrives on collaboration, with players sharing tips, strategies, and stories that enhance our collective experience. We celebrate diversity, welcoming gamers of all skill levels and backgrounds into our fold. Key achievements and moments in gaming history are cherished, forming a rich tapestry of shared experiences. From late-night gaming marathons to exciting tournaments, we find camaraderie in our challenges and victories. Above all, gaming fosters connections, sparks friendships, and creates memorable adventures that last a lifetime."
Digital Nomads,"Community, respect for elders, hospitality, cultural festivals, and unity.","Kente cloth, jollof rice, shea butter, traditional drums, Adinkra symbols.","West African cultures, diasporic African cultures, Afro-Caribbean cultures.",5,6,3,National with global diasporic connections through festivals and cultural groups.,"Participation in communal events, storytelling, and sharing traditional meals fosters a sense of belonging.","Ghanaian culture is a vibrant tapestry woven from diverse traditions and languages. We are proud of our rich history, characterized by colorful festivals, music, and dance that reflect our community spirit. Our society places great importance on family and respect for elders, who guide us with wisdom. Traditional foods like jollof rice and fufu are at the heart of our gatherings, bringing people together to celebrate life’s milestones. The art of Kente weaving not only serves as clothing but symbolizes our history and identity. As we navigate the modern world, we strive to uphold our values, ensuring that future generations carry our unique heritage forward."
Dungeons & Dragons Lorekeepers,"Nature appreciation, health, adventure, sustainability, and camaraderie.","Hiking gear, maps, trail markers, backpacks, protein bars, water bottles.","Camping culture, outdoor survivalists, environmental groups, and travel communities.",6,3,2,"Local and global, with clubs, online forums, and social media groups.","Membership is often through group hikes, sharing experiences and gear swaps. Symbols include trail signs and shared photos.","Hiking culture isn’t just about the trails; it’s about the stories we share along the way. Every hike opens up opportunities for adventure, both in nature and in our lives. We celebrate the small victories, like reaching a summit or stumbling upon a hidden waterfall. The camaraderie is infectious, with friendships blossoming over shared experiences, whether it's grueling climbs or relaxing picnics with breathtaking views. We emphasize sustainability, making efforts to leave no trace and protect the beautiful landscapes we cherish. Our culture is a welcoming community that encourages exploration and growth, urging others to step outside, engage with nature, and discover the joys of hiking."
Eco-Conscious Consumers,"The culture I was born into doesn't care about me, that's for sure.","""my"" culture cares about material wealth, obtained through the unpaid labor of subjugated others. Money, money, money.","capitalism, colonialism",1,7,1,"The scope is Universal, but primarily what whe call ""advanced societies"".",Greed. Cruelty. Stupidity.,"""My"" culture is not unique, unfortunately. I am all about the destruction and dismantling of my culture and undoing the harm it has inflicted upon the world. It is most regrettable that as part my ""heritage""  I ""belong"" to ""my"" culture. Should it perish in my lifetime, I will consider my purpose fulfilled, myself finally free, and I will die a happy man.  "
Fantasy Role-Playing Gamers,"Creativity, self-expression, community engagement, cultural heritage.","Spray paint, stencils, murals, community walls, street marketplaces.","Graffiti culture globally, hip-hop culture, traditional Indian art forms.",5,5,3,Local community with a growing national presence in art festivals.,"Belonging is marked by collaboration on murals, participation in festivals, and sharing techniques. Symbols include spray cans and wall art.","Indian street art culture is vibrant and full of life, characterized by the interplay between urban spaces and traditional narratives. We engage with our surroundings, transforming mundane walls into canvases that tell stories of love, struggle, and resilience. By blending contemporary techniques with historical motifs, we create a dialogue between the past and the present. The colorful murals bring communities together, spark conversations, and often address social issues, making art accessible to everyone. We are united by a belief in the power of visual storytelling to inspire change, and every spray of paint is our voice, echoing in the streets of India."
Feminist Scholars,"Music sharing, supporting artists, community, creativity.","Vinyl records, concert tickets, band merch, music blogs.","Music enthusiasts, local musicians, DIY communities.",6,5,3,Local scene with a national and global network of indie music lovers.,"Belonging is cultivated through music exchanges, attending local shows, and supporting independent artists. Symbols include vinyl records and concert posters.","The indie music collectors' culture is a vibrant community passionate about discovering and sharing unique sounds. We thrive on supporting independent artists and celebrating creativity beyond mainstream music. Our gatherings often revolve around record swaps, listening parties, and live performances, where we connect over the joy of music. We take pride in our eclectic taste, discovering hidden gems and sharing them with one another. Each record we collect carries a story, representing the artist's journey and the experiences of those who listen. Our culture is defined by inclusivity and camaraderie, making it a rich tapestry of music lovers dedicated to preserving the art of indie music and fostering a supportive community."
French,"Connection to land, storytelling, tradition, community, and spirituality.","Ochre, bark, boomerangs, woven baskets, didgeridoos, traditional artworks.","Other Indigenous cultures globally, Aboriginal and Torres Strait Islander traditions.",3,2,5,Local community with national recognition and global interest in art.,"Belonging is through art-making, storytelling, and cultural ceremonies. Key symbols include the Dreamtime stories and traditional designs.","Indigenous Australian art is a powerful expression of our connection to land, culture, and spirituality. It serves not only as a visual representation of our stories and beliefs but as a bridge connecting generations. Our artworks often depict Dreamtime stories, symbolizing the deep ties we have with our ancestors and the land we inhabit. Through painting, sculpture, and weaving, we communicate our history, resilience, and identity. Each piece is imbued with meaning and serves as a reminder of our responsibilities to the land and each other. Sharing these stories through art fosters a sense of belonging and strengthens our community, as we celebrate our heritage and pass it on to the future."
Gamer,"We value land, community, culture, sustainability, and resistance against colonialism.","Traditional tools, cultural artifacts, art from local materials, and sustainably sourced foods.","Other Indigenous cultures, environmental activists, and social justice movements.",5,2,5,This culture exists within local communities and has a presence in national and global movements.,"Belonging arises from shared struggles, community gatherings, and cultural ceremonies. Key symbols include traditional dress and local insignia.","Indigenous land defenders embody a profound connection to our ancestral lands, viewing them as sacred and integral to our identity. Our culture transcends mere existence; it is a commitment to protecting our environment and cultural heritage against encroachment and exploitation. We leverage traditional ecological knowledge passed down through generations while engaging in contemporary forms of advocacy, emphasizing the importance of sustainability and collective well-being. Our gatherings are spaces for healing, storytelling, and reinforcing our bonds as a community. Each action taken towards defending our land is not just an act of resistance but a reaffirmation of our identity, culture, and the rights of future generations."
Gamer culture,"Family, food, traditions, community, la dolce vita.","Pasta, espresso, pizza, family gatherings, vineyards, art.","Mediterranean cultures, Spanish, Greek.",3,2,4,"Primarily national, but also local through regional dialects and traditions.","Belonging is nurtured through family meals, holiday traditions, and local festivals. Key symbols include the olive tree and the Colosseum.","Italian culture is synonymous with warmth and connection. Family is at the heart of our lives, where every meal is an occasion to gather, share, and celebrate. Our cuisine is not just food; it’s an expression of our heritage, craftsmanship, and love. Each region boasts unique flavors and traditions, painting a rich tapestry of our diversity. Our festivals, steeped in history, are times for joyful gatherings, showcasing our art, music, and dance. We find joy in the simple pleasures of life, from a sunny afternoon in a vineyard to a bustling market. This culture thrives on relationships, passion, and a profound appreciation for life."
Ghanaian,"Tradition, storytelling, community, passion, and history.","Accordions, mandolins, traditional costumes, folk tales, regional dishes.","Mediterranean cultures, regional Italian communities, folk traditions worldwide.",6,5,4,Local community with national festivals and recognition.,"People belong by participating in music sessions, festivals, and storytelling. Key symbols include traditional instruments and costumes.","Italian folk music embodies the heart and soul of our communities, rich with history and emotion. Our gatherings, often around fires or at local festivals, celebrate tradition through song and dance. We pass down stories of love, heartache, and resilience, encapsulated in melodies played on accordions and mandolins. Each performance is a vibrant testimony to our heritage, inviting participation and connection. In these moments, we feel the strong ties to our ancestors, as well as to one another. Our culture thrives on shared joy, laughter, and a deep appreciation for the vibrant tapestry of life that our music represents. We are not just musicians; we are storytellers, preserving the essence of our communities for future generations."
harvard alum,"Harmony, respect, tradition, craftsmanship, community, education.","Sushi, kimono, origami, sake, tatami mats, cherry blossoms, calligraphy.","Korean, Chinese, Vietnamese.",4,2,5,"Primarily national, with global influences due to diaspora and cultural export.","Belonging often comes through participation in festivals like Hanami, tea ceremonies, or community gatherings. Key symbols include the crane and koi fish, representing peace and perseverance.","Japanese culture is deeply rooted in respect and tradition. The way we interact with nature, through festivals and seasonal changes, teaches us the importance of transience and beauty in our everyday lives. Our values reflect a blend of ancient customs and modern innovation, with a great emphasis on craftsmanship that can be seen in everything from architecture to cuisine. We have a unique way of honoring our ancestors and celebrating life events through rituals and ceremonies. Family bonds and community play a significant role in shaping our identity, making us feel connected not only to each other but to our history as well."
Hiking Enthusiasts,"Harmony, respect, purity, tranquility, mindfulness.","Matcha tea, tea utensils, tatami mats, kimonos, handcrafted tea bowls.","Chinese tea culture, Zen Buddhism, traditional Japanese arts.",4,3,4,"Primarily local community practices, with national and international events.","Belonging is established through participation in ceremonies, learning the rituals, and sharing tea. Key symbols include the tea whisk and the seasonal flowers.","The Japanese tea ceremony, or Chanoyu, is not merely about drinking tea; it embodies a rich philosophy that encompasses art, hospitality, and spiritual practice. Each movement is intentional, whether it’s the precise way the tea is whisked or the graceful presentation of utensils. We cultivate mindfulness, where each sip of matcha becomes a moment of reflection. The ceremony is often held in serene settings, surrounded by seasonal flowers and natural beauty, emphasizing our connection to nature. Sharing tea fosters community, allowing us to bond over simple yet profound experiences. In learning this art, we become part of a lineage that values the sacredness of everyday rituals."
"I am not a member of a single culture. I was born into ""whiteness"".","Mindfulness, tranquility, simplicity, nature, aesthetics.","Raked gravel, stones, bonsai trees, bamboo, traditional tools.","Buddhism, Taoism, Chinese garden traditions.",4,4,3,"Primarily local, with international interest in Zen practices.","Participation in garden care, meditation sessions, and community workshops. Symbols include the Zen garden itself and the concept of wabi-sabi.","Japanese Zen gardening offers a pathway to mindfulness and harmony with nature, inviting participants to cultivate peace in their lives. The act of creating and maintaining a Zen garden is a meditative practice, where raked gravel patterns symbolize rippling water and stones represent mountains. Our community values simplicity, beauty, and the delicate impermanence of life, embodying the philosophy of wabi-sabi. Through workshops and shared experiences, we come together to connect with nature and each other, exploring the deeper meanings behind our actions. This culture provides space for reflection and growth, allowing each member to find tranquility in their own way, making it a unique and enriching experience."
immigrants,"Creativity, mindfulness, sharing, sustainability, and community bonding.","Yarn, needles, patterns, finished garments, coffee, and cozy spaces.","Crafting communities, quilting groups, and local artisan markets.",5,4,3,"Local clubs, online forums, and larger crafting events.","Belonging is nurtured through shared projects, workshops, and discussions. Symbols include knitted items and seasonal gatherings.","Knitting culture is a warm, welcoming space where creativity flourishes. In our circles, needles click together as we share stories and laughter, each stitch connecting us more deeply. It’s not just about making garments; it’s about mindfulness and expressing ourselves through colors and patterns. We value sustainability, often using eco-friendly materials and sharing tips on upcycling yarn. Workshops and community projects foster learning and collaboration, making everyone feel included. The pride of gifting a handmade item to a loved one is unmatched. Our culture celebrates both individual expression and collective joy, creating a tapestry of experiences that enrich our lives."
Indian street artists,"Creativity, passion for music, unity, support for artists, cultural exchange.","Merchandise, lightsticks, concert tickets, fan art, streaming playlists.","Global fandom cultures, music communities, Asian pop culture.",6,5,3,"Global, with local fanbases in various countries.","Belonging comes from sharing experiences, attending concerts, and engaging via social media. The fandom often celebrates anniversaries and milestones together.","Being a part of the K-Pop fandom is about so much more than just enjoying music; it's a shared passion that transcends borders and languages. We come together to support our favorite artists and celebrate their achievements, often forming deep friendships along the way. The culture is vibrant and dynamic, fueled by creativity and dedication, from fan art to elaborate dance covers. We engage with one another on social media, share updates, and organize events, making each member feel valued and included. Our culture thrives on the excitement of concerts and fan meetings, where we collectively create memories and express our love for the art and artists. It’s a community that celebrates diversity and unity, proving that music truly is a universal language."
