Name,Kinships,Affiliation,Knowledgebase,Openness,Scope,Sides,InteriorParticleCount,ParticlesPerEdge,BorderParticleCount,TotalParticleCount,Color
Slow Food Movement,"Eco-conscious Consumers, Urban Foragers, Culinary Explorers, Craft Beer Enthusiasts, Urban Ecologist, Plant Parents",,5,4,local,6,52,7,42,94,#FF41EA
Salsa Dance Community,"Italian Folk Musicians, K-pop Fans, Brazilian, Samba Dancers",,4,3,local,4,84,8,32,116,#00A7E4
K-pop Fandom,"K-pop Fans, Anime Fans, Otaku, Indie Music Collectors, Gamers",,6,5,global,5,80,7,35,115,#00F95D
Celtic Reconstructionism,"Mapuche, Sámi, Indigenous Land Defenders",,5,3,local,3,89,8,24,113,#C30000
Japanese Zen Gardening,"Japanese Tea Ceremony, Plant Parents, Urban Ecologist, Urban Foragers, Maker Culture",,4,4,local,5,159,8,40,199,#3C8AFF
Queer Book Club,"Feminist Scholars, Indie Music Collectors, Podcast Creators",,6,5,local,3,29,7,21,50,#0097FF
Craft Beer Enthusiasts,"Eco-conscious Consumers, Coffee Enthusiasts, Slow Food Movement",,7,4,local,3,71,7,21,92,#FF72FF
Sustainable Fashion,"Maker Culture, Urban Ecologist, Slow Food Movement, Urban Foragers, Plant Parents, Indigenous Land Defenders",,5,6,local,6,71,6,36,107,#0082D6
Fantasy Role-playing,"Podcast Creators, Otaku, Board Gamers, Anime Fans, Gamers, Board Game Creators",,4,5,local,6,106,7,42,148,#D6A400
Baking,"Slow Food Movement, Coffee Enthusiasts, Urban Foragers, Eco-conscious Consumers",,5,6,global,4,124,6,24,148,#AE7E00
Astrophotography,"Data Scientists, Maker Culture, Tech Startups, Virtual Reality Enthusiasts, Podcast Creators, Digital Nomads, Urban Ecologist, Gamers",,6,5,local,8,173,8,64,237,#D78FFF
Board Game Creators,"Tabletop Rpg Players, Maker Culture, Indian Street Artists, Tech Startups, D&d Lorekeepers",,7,5,local,5,154,8,40,194,#C52800
Urban Foragers,"Sustainable Fashion, Plant Parents, Urban Ecologist, Slow Food Movement, Culinary Explorers",,5,4,local,5,108,7,35,143,#FF6800
D&d Lorekeepers,"Fantasy Role-playing, Board Gamers, Board Game Creators, Podcast Creators, Anime Fans, Otaku, Gamers, Queer Book Club",,6,4,global,8,113,7,56,169,#5262FF
Podcast Creators,"Indie Music Collectors, Tech Startups, Data Scientists, Virtual Reality Enthusiasts, Gamers, Board Gamers, Queer Book Club, Anime Fans",,5,6,local,8,180,7,56,236,#73B7FF
Eco-conscious Consumers,"Sustainable Fashion, Slow Food Movement, Urban Foragers, Culinary Explorers, Plant Parents, Urban Ecologist, Maker Culture, Coffee Enthusiasts",,6,5,local,8,137,7,56,193,#C60098
Plant Parents,"Japanese Tea Ceremony, Sustainable Fashion, Slow Food Movement",,5,6,local,3,58,6,18,76,#C2B000
Indie Music Collectors,"Street Art Collective, Maker Culture, Podcast Creators, K-pop Fandom, Virtual Reality Enthusiasts, Tech Startups",,6,5,global,6,63,7,42,105,#CC1BE3
Tech Startups,"Eco-conscious Consumers, Gamers, Virtual Reality Enthusiasts, Maker Culture, Digital Nomads, Urban Ecologist, Data Scientists",,6,5,local,7,200,8,56,256,#00F9FF
Culinary Explorers,"Sustainable Fashion, Urban Foragers, Plant Parents, Slow Food Movement",,5,4,global,4,50,7,28,78,#009100
Virtual Reality Enthusiasts,"Gamers, Tech Startups, Digital Nomads, Data Scientists, Anime Fans, Otaku, Board Game Creators, Street Art Collective",,6,5,global,8,128,7,56,184,#FF362C
